,candidate,party,votes,state,state_num,const_num,const_name,status
0,DAYANAND RAGHUNATH SOPTE,Indian National Congress,16490,Goa,05,1,Goa - Mandrem,Result Declared  
1,LAXMIKANT PARSEKAR,Bharatiya Janata Party,9371,Goa,05,1,Goa - Mandrem,Result Declared  
2,SHRIDHAR LADU MANJREKAR,Maharashtrawadi Gomantak,678,Goa,05,1,Goa - Mandrem,Result Declared  
3,DEVENDRA KRISHNAJI PRABHU PARSEKAR DESAI,Aam Aadmi Party,620,Goa,05,1,Goa - Mandrem,Result Declared  
4,RAJENDRA M. SATELKAR,Nationalist Congress Party,234,Goa,05,1,Goa - Mandrem,Result Declared  
5,SANJAY KRISHNARAO PRABHU DESAI,Independent,101,Goa,05,1,Goa - Mandrem,Result Declared  
6,BHIM RAGHUVIR PEDNEKAR,Bahujan Mukti Party,57,Goa,05,1,Goa - Mandrem,Result Declared  
7,None of the Above,None of the Above,415,Goa,05,1,Goa - Mandrem,Result Declared  
8,AJGAONKAR MANOHAR TRIMBAK,Maharashtrawadi Gomantak,15745,Goa,05,2,Goa - Pernem ,Result Declared  
9,RAJENDRA ARLEKAR,Bharatiya Janata Party,9715,Goa,05,2,Goa - Pernem ,Result Declared  
10,VIKESH RAMESH ASSOTIKAR,Indian National Congress,1013,Goa,05,2,Goa - Pernem ,Result Declared  
11,SHIVANAND KRISHNA PILARNKAR,Aam Aadmi Party,308,Goa,05,2,Goa - Pernem ,Result Declared  
12,GOPALDAS ANANT ARLEKAR,Goa Vikas Party,180,Goa,05,2,Goa - Pernem ,Result Declared  
13,SANTOSH SHANKAR MANDREKAR,Nationalist Congress Party,124,Goa,05,2,Goa - Pernem ,Result Declared  
14,NITIN MOHAN CHOPDEKAR,Bahujan Mukti Party,105,Goa,05,2,Goa - Pernem ,Result Declared  
15,DNYANESWAR SITARAM VARKHANKAR,Goa Praja Party,71,Goa,05,2,Goa - Pernem ,Result Declared  
16,None of the Above,None of the Above,469,Goa,05,2,Goa - Pernem ,Result Declared  
17,RAJESH PATNEKAR,Bharatiya Janata Party,10654,Goa,05,3,Goa - Bicholim,Result Declared  
18,NARESH SAWAL,Maharashtrawadi Gomantak,9988,Goa,05,3,Goa - Bicholim,Result Declared  
19,MANOHAR PANDURANG SHIRODKAR,Indian National Congress,1761,Goa,05,3,Goa - Bicholim,Result Declared  
20,SAINATH PATEKAR,Aam Aadmi Party,358,Goa,05,3,Goa - Bicholim,Result Declared  
21,RAUT PANDURANG DATTARAM,Goa Praja Party,324,Goa,05,3,Goa - Bicholim,Result Declared  
22,None of the Above,None of the Above,221,Goa,05,3,Goa - Bicholim,Result Declared  
23,NILKANTH RAMNATH HALARNKAR,Indian National Congress,11099,Goa,05,4,Goa - Tivim,Result Declared  
24,KIRAN MOHAN KANDOLKAR,Bharatiya Janata Party,10304,Goa,05,4,Goa - Tivim,Result Declared  
25,PRADEEP AMONKAR GHADI,Aam Aadmi Party,703,Goa,05,4,Goa - Tivim,Result Declared  
26,DOUGLAS LAWRENCE SEQUEIRA,Nationalist Congress Party,275,Goa,05,4,Goa - Tivim,Result Declared  
27,None of the Above,None of the Above,179,Goa,05,4,Goa - Tivim,Result Declared  
28,FRANCISCO C. J. A. DE PINTO E SOUZA,Bharatiya Janata Party,10957,Goa,05,5,Goa - Mapusa,Result Declared  
29,VINOD FADKE,Maharashtrawadi Gomantak,4129,Goa,05,5,Goa - Mapusa,Result Declared  
30,VIJAY LAXMAN BHIKE,Indian National Congress,3013,Goa,05,5,Goa - Mapusa,Result Declared  
31,SHRADDHA KHALAP,Aam Aadmi Party,2321,Goa,05,5,Goa - Mapusa,Result Declared  
32,DOMNIC ALPHONSO,Independent,1543,Goa,05,5,Goa - Mapusa,Result Declared  
33,SANJAY VITHU BARDE,Nationalist Congress Party,289,Goa,05,5,Goa - Mapusa,Result Declared  
34,RAMESHWARI MORAJKAR,Goa Su-Raj Party,103,Goa,05,5,Goa - Mapusa,Result Declared  
35,None of the Above,None of the Above,409,Goa,05,5,Goa - Mapusa,Result Declared  
36,VINODA DATARAMA PALIENCAR,Goa Forward Party,10189,Goa,05,6,Goa - Siolim,Result Declared  
37,DAYANAND RAYU MANDREKAR,Bharatiya Janata Party,8748,Goa,05,6,Goa - Siolim,Result Declared  
38,VISHNU MHADDU NAIK,Aam Aadmi Party,1854,Goa,05,6,Goa - Siolim,Result Declared  
39,PATRICK SAVIO ALMEIDA,Independent,1497,Goa,05,6,Goa - Siolim,Result Declared  
40,PARESH RAIKAR,Goa Suraksha Manch,532,Goa,05,6,Goa - Siolim,Result Declared  
41,ABHIJIT DHARGALKAR,Nationalist Congress Party,275,Goa,05,6,Goa - Siolim,Result Declared  
42,JANARDAN NARAHARI TAMHANKAR,Bahujan Mukti Party,116,Goa,05,6,Goa - Siolim,Result Declared  
43,MUKESH SAWANT,Independent,73,Goa,05,6,Goa - Siolim,Result Declared  
44,None of the Above,None of the Above,212,Goa,05,6,Goa - Siolim,Result Declared  
45,JAYESH VIDYADHAR SALGAONKAR,Goa Forward Party,9735,Goa,05,7,Goa - Saligao,Result Declared  
46,DILIP PARULEKAR,Bharatiya Janata Party,7598,Goa,05,7,Goa - Saligao,Result Declared  
47,AGNELO NICHOLAS FERNANDES,Indian National Congress,1616,Goa,05,7,Goa - Saligao,Result Declared  
48,DATTATRAYA VITTAL PADGAONKAR,Aam Aadmi Party,1330,Goa,05,7,Goa - Saligao,Result Declared  
49,RAJESH DABHOLKAR,Shivsena,428,Goa,05,7,Goa - Saligao,Result Declared  
50,GAJANAN RAMA NAIK,Communist Party of India,150,Goa,05,7,Goa - Saligao,Result Declared  
51,None of the Above,None of the Above,171,Goa,05,7,Goa - Saligao,Result Declared  
52,MICHAEL VINCENT LOBO,Bharatiya Janata Party,11136,Goa,05,8,Goa - Calangute,Result Declared  
53,JOSEPH ROBERT SEQUEIRA,Indian National Congress,7311,Goa,05,8,Goa - Calangute,Result Declared  
54,GODWIN FERNANDES,Aam Aadmi Party,1465,Goa,05,8,Goa - Calangute,Result Declared  
55,None of the Above,None of the Above,172,Goa,05,8,Goa - Calangute,Result Declared  
56,ROHAN KHAUNTE,Independent,11174,Goa,05,9,Goa - Porvorim,Result Declared  
57,GURUPRASAD R. PAWASKAR,Bharatiya Janata Party,6961,Goa,05,9,Goa - Porvorim,Result Declared  
58,RAJESH VALVAIKAR,Aam Aadmi Party,846,Goa,05,9,Goa - Porvorim,Result Declared  
59,RAJESH VISHNU SINAI AMONKAR ALIAS RAJESH AMONKAR,Maharashtrawadi Gomantak,222,Goa,05,9,Goa - Porvorim,Result Declared  
60,WILBUR FREDRICK TICLO,Independent,144,Goa,05,9,Goa - Porvorim,Result Declared  
61,RAJU D'SOUZA,Samajwadi Janata Party (ChandraShekhar),133,Goa,05,9,Goa - Porvorim,Result Declared  
62,None of the Above,None of the Above,176,Goa,05,9,Goa - Porvorim,Result Declared  
63,GLENN SOUZA TICLO,Bharatiya Janata Party,9405,Goa,05,10,Goa - Aldona,Result Declared  
64,AMARNATH PANJIKAR,Indian National Congress,4949,Goa,05,10,Goa - Aldona,Result Declared  
