,candidate,party,votes,state,state_num,const_num,const_name,status
0,THOKCHOM LOKESHWAR SINGH,Indian National Congress,12849,Manipur,14,1,Manipur - Khundrakpam (GEN),Result Declared  
1,THANGJAM MOHENDRO SINGH,Bharatiya Janata Party,9790,Manipur,14,1,Manipur - Khundrakpam (GEN),Result Declared  
2,YUMLEMBAM JOGENDRO,Communist Party of India  (Marxist),129,Manipur,14,1,Manipur - Khundrakpam (GEN),Result Declared  
3,LAIRENLAKPAM LALA SINGH,National People's Party,36,Manipur,14,1,Manipur - Khundrakpam (GEN),Result Declared  
4,None of the Above,None of the Above,92,Manipur,14,1,Manipur - Khundrakpam (GEN),Result Declared  
5,NONGTHOMBAM BIREN SINGH,Bharatiya Janata Party,10439,Manipur,14,2,Manipur - Heingang (GEN),Result Declared  
6,PANGEIJAM SARATCHANDRA SINGH,All India Trinamool Congress,9233,Manipur,14,2,Manipur - Heingang (GEN),Result Declared  
7,NAOROIBAM RATAN MEETEI (KAPU),Indian National Congress,7329,Manipur,14,2,Manipur - Heingang (GEN),Result Declared  
8,DR. GURUMAYUM TONSANA SHARMA,Manipur Democratic Peoples's Front,113,Manipur,14,2,Manipur - Heingang (GEN),Result Declared  
9,THOKCHOM ROMEO SINGH,Independent,91,Manipur,14,2,Manipur - Heingang (GEN),Result Declared  
10,YENGKOKPAM PRIYOKUMAR SINGH,Manipur People???s Party,59,Manipur,14,2,Manipur - Heingang (GEN),Result Declared  
11,None of the Above,None of the Above,130,Manipur,14,2,Manipur - Heingang (GEN),Result Declared  
12,LEISHANGTHEM SUSINDRO MEITEI,Bharatiya Janata Party,15005,Manipur,14,3,Manipur - Khurai (GEN),Result Declared  
13,DR. NGAIRANGBAM BIJOY SINGH,Indian National Congress,13061,Manipur,14,3,Manipur - Khurai (GEN),Result Declared  
14,R.K.AMUSANA,Communist Party of India,800,Manipur,14,3,Manipur - Khurai (GEN),Result Declared  
15,None of the Above,None of the Above,322,Manipur,14,3,Manipur - Khurai (GEN),Result Declared  
16,NAHAKPAM INDRAJIT SINGH,Bharatiya Janata Party,10411,Manipur,14,4,Manipur - Kshetrigao ,Result Declared  
17,MD. AMIN SHAH,Indian National Congress,10031,Manipur,14,4,Manipur - Kshetrigao ,Result Declared  
18,TH. NANDAKISHOR SINGH,Manipur National Democratic Front,9190,Manipur,14,4,Manipur - Kshetrigao ,Result Declared  
19,VIVEKRAJ WANGKHEM,National People's Party,281,Manipur,14,4,Manipur - Kshetrigao ,Result Declared  
20,MD. AZIZUL HAGUE KHAN,Manipur People???s Party,80,Manipur,14,4,Manipur - Kshetrigao ,Result Declared  
21,MD. ABIR KHAN,All India Forward Bloc,69,Manipur,14,4,Manipur - Kshetrigao ,Result Declared  
22,MD. ZAMEER AHMED,All India Trinamool Congress,67,Manipur,14,4,Manipur - Kshetrigao ,Result Declared  
23,None of the Above,None of the Above,174,Manipur,14,4,Manipur - Kshetrigao ,Result Declared  
24,THONGAM BISWAJIT SINGH,Bharatiya Janata Party,16809,Manipur,14,5,Manipur - Thongju ,Result Declared  
25,THOKCHOM AJIT SINGH,Indian National Congress,9508,Manipur,14,5,Manipur - Thongju ,Result Declared  
26,L. GEETARANJAN SHARMA,All India Trinamool Congress,131,Manipur,14,5,Manipur - Thongju ,Result Declared  
27,None of the Above,None of the Above,398,Manipur,14,5,Manipur - Thongju ,Result Declared  
28,LOUREMBAM RAMESHWOR MEETEI,Bharatiya Janata Party,5959,Manipur,14,6,Manipur - Keirao ,Result Declared  
29,MD. NASIRUDDIN KHAN,Independent,5421,Manipur,14,6,Manipur - Keirao ,Result Declared  
30,KARAM THAMARJIT SINGH,Indian National Congress,4715,Manipur,14,6,Manipur - Keirao ,Result Declared  
31,THONGRAM GOPEN,North East India Development Party,4477,Manipur,14,6,Manipur - Keirao ,Result Declared  
32,MD. ISLAMUDDIN KHAN,Nationalist Congress Party,3241,Manipur,14,6,Manipur - Keirao ,Result Declared  
33,TAKHELLAMBAM SAMANANDA SINGH,Lok Jan Shakti Party,1446,Manipur,14,6,Manipur - Keirao ,Result Declared  
34,NINGTHOUJAM ITOMBA MEETEI,Manipur National Democratic Front,685,Manipur,14,6,Manipur - Keirao ,Result Declared  
35,MD. WAHIDUR RAHMAN,Independent,106,Manipur,14,6,Manipur - Keirao ,Result Declared  
36,None of the Above,None of the Above,80,Manipur,14,6,Manipur - Keirao ,Result Declared  
