,candidate,party,votes,state,state_num,const_num,const_name,status
0,RAJKUMAR,Indian National Congress,17798,Uttarakhand,28,1,Uttarakhand - Purola,Result Declared  
1,MALCHAND,Bharatiya Janata Party,16785,Uttarakhand,28,1,Uttarakhand - Purola,Result Declared  
2,DURGESHWAR LAL,Independent,13508,Uttarakhand,28,1,Uttarakhand - Purola,Result Declared  
3,RAMLAL,Bahujan Samaj Party,679,Uttarakhand,28,1,Uttarakhand - Purola,Result Declared  
4,None of the Above,None of the Above,762,Uttarakhand,28,1,Uttarakhand - Purola,Result Declared  
5,KEDAR SINGH,Bharatiya Janata Party,19800,Uttarakhand,28,2,Uttarakhand - Yamunotri,Result Declared  
6,SANJAY DOBHAL,Indian National Congress,13840,Uttarakhand,28,2,Uttarakhand - Yamunotri,Result Declared  
7,PRAKASH CHAND RAMOLA,Independent,7061,Uttarakhand,28,2,Uttarakhand - Yamunotri,Result Declared  
8,RANVEER SINGH,Independent,4613,Uttarakhand,28,2,Uttarakhand - Yamunotri,Result Declared  
9,RAJBAHADUR SINGH BAUDDH,Bahujan Samaj Party,530,Uttarakhand,28,2,Uttarakhand - Yamunotri,Result Declared  
10,JAIPRAKASH,Sarv Vikas Party,342,Uttarakhand,28,2,Uttarakhand - Yamunotri,Result Declared  
11,DHARMANAND BIJALWAN,Independent,248,Uttarakhand,28,2,Uttarakhand - Yamunotri,Result Declared  
12,PURUSHOTTAM UNIYAL,Uttarakhand Kranti Dal,246,Uttarakhand,28,2,Uttarakhand - Yamunotri,Result Declared  
13,None of the Above,None of the Above,424,Uttarakhand,28,2,Uttarakhand - Yamunotri,Result Declared  
14,GOPAL SINGH RAWAT,Bharatiya Janata Party,25683,Uttarakhand,28,3,Uttarakhand - Gangotri,Result Declared  
15,VIJAYPAL SINGH SAJWAN,Indian National Congress,16073,Uttarakhand,28,3,Uttarakhand - Gangotri,Result Declared  
16,SURATRAM NAUTIYAL,Independent,9491,Uttarakhand,28,3,Uttarakhand - Gangotri,Result Declared  
17,BHUPENDRA SINGH,Independent,1526,Uttarakhand,28,3,Uttarakhand - Gangotri,Result Declared  
18,VIJAYPAL TANGANI,Bahujan Samaj Party,576,Uttarakhand,28,3,Uttarakhand - Gangotri,Result Declared  
19,MAHAVEER PRASAD,Communist Party of India,553,Uttarakhand,28,3,Uttarakhand - Gangotri,Result Declared  
20,RAJBEER SINGH PARMAR,Rashtriya Jan Sahay Dal,412,Uttarakhand,28,3,Uttarakhand - Gangotri,Result Declared  
21,RATAN LAL VERMA,Independent,213,Uttarakhand,28,3,Uttarakhand - Gangotri,Result Declared  
22,VISHNUPAL SINGH RAWAT,Uttarakhand Kranti Dal,192,Uttarakhand,28,3,Uttarakhand - Gangotri,Result Declared  
23,None of the Above,None of the Above,933,Uttarakhand,28,3,Uttarakhand - Gangotri,Result Declared  
24,MAHENDRA BHATT,Bharatiya Janata Party,29676,Uttarakhand,28,4,Uttarakhand - Badrinath,Result Declared  
25,RAJENDRA SINGH BHANDARI,Indian National Congress,24042,Uttarakhand,28,4,Uttarakhand - Badrinath,Result Declared  
26,BHARAT SINGH KUNWAR,Communist Party of India,2380,Uttarakhand,28,4,Uttarakhand - Badrinath,Result Declared  
27,VINOD FONIA,Independent,2370,Uttarakhand,28,4,Uttarakhand - Badrinath,Result Declared  
28,MUKESH LAL KOSHWAL,Bahujan Samaj Party,1652,Uttarakhand,28,4,Uttarakhand - Badrinath,Result Declared  
29,ARUNA DANWASHI,Independent,916,Uttarakhand,28,4,Uttarakhand - Badrinath,Result Declared  
30,KEERAT SINGH BHANDARI,Samajwadi Party,859,Uttarakhand,28,4,Uttarakhand - Badrinath,Result Declared  
31,DEVENDRA SINGH NEGI,Uttarakhand Kranti Dal,487,Uttarakhand,28,4,Uttarakhand - Badrinath,Result Declared  
32,LAXMI PRASAD SATI,Independent,335,Uttarakhand,28,4,Uttarakhand - Badrinath,Result Declared  
33,None of the Above,None of the Above,691,Uttarakhand,28,4,Uttarakhand - Badrinath,Result Declared  
34,MAGAN LAL SHAH,Bharatiya Janata Party,25810,Uttarakhand,28,5,Uttarakhand - Tharali,Result Declared  
35,DR. JEET RAM,Indian National Congress,20889,Uttarakhand,28,5,Uttarakhand - Tharali,Result Declared  
36,GUDDU LAL,Independent,7088,Uttarakhand,28,5,Uttarakhand - Tharali,Result Declared  
