,candidate,party,votes,state,state_num,const_num,const_name,status
0,KRIPANATH MALLAH,Bharatiya Janata Party,53975,Assam,3,1,Assam - Ratabari,Result Declared  
1,AKHIL RANJAN TALUKDAR,Indian National Congress,29449,Assam,3,1,Assam - Ratabari,Result Declared  
2,RAJIB BISWAS,All India United Democratic Front,23926,Assam,3,1,Assam - Ratabari,Result Declared  
3,SETUL CHANDRA NAMASUDRA,Independent,908,Assam,3,1,Assam - Ratabari,Result Declared  
4,NIRMAL MALLICK,Samajwadi Party,542,Assam,3,1,Assam - Ratabari,Result Declared  
5,PRABIR BARDHAN,Independent,487,Assam,3,1,Assam - Ratabari,Result Declared  
6,SANJOY KUMAR MALLAH,Independent,419,Assam,3,1,Assam - Ratabari,Result Declared  
7,KALIPADA BISWAS,Independent,380,Assam,3,1,Assam - Ratabari,Result Declared  
8,MANILAL RABIDAS,Independent,370,Assam,3,1,Assam - Ratabari,Result Declared  
9,SATYENDRA NAMASUDRA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),354,Assam,3,1,Assam - Ratabari,Result Declared  
10,NIRANJAN MALLAH,Independent,267,Assam,3,1,Assam - Ratabari,Result Declared  
11,RANJU ROY,Independent,247,Assam,3,1,Assam - Ratabari,Result Declared  
12,UMESH MALAH,Independent,204,Assam,3,1,Assam - Ratabari,Result Declared  
13,AMULYA NAMASUDRA,Independent,191,Assam,3,1,Assam - Ratabari,Result Declared  
14,None of the Above,None of the Above,889,Assam,3,1,Assam - Ratabari,Result Declared  
15,KRISHNENDU PAUL,Bharatiya Janata Party,46544,Assam,3,2,Assam - Patharkandi,Result Declared  
16,DEBENDRA KUMAR SINHA,All India United Democratic Front,37276,Assam,3,2,Assam - Patharkandi,Result Declared  
17,MONI LAL GOWALA,Indian National Congress,32048,Assam,3,2,Assam - Patharkandi,Result Declared  
18,KRIPESH RANJAN DASGUPTA,Communist Party of India  (Marxist),1638,Assam,3,2,Assam - Patharkandi,Result Declared  
19,KABIR AHMED,Independent,892,Assam,3,2,Assam - Patharkandi,Result Declared  
20,RAHIM UDDIN AHMED,Independent,743,Assam,3,2,Assam - Patharkandi,Result Declared  
21,MISBAQUE UDDIN,Samajwadi Party,599,Assam,3,2,Assam - Patharkandi,Result Declared  
22,DEBANGSHU NATH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),509,Assam,3,2,Assam - Patharkandi,Result Declared  
23,ASAD UDDIN AHMED,Independent,501,Assam,3,2,Assam - Patharkandi,Result Declared  
24,NITAI DEY,Independent,495,Assam,3,2,Assam - Patharkandi,Result Declared  
25,NIHAR RANJAN DEB NATH,Independent,419,Assam,3,2,Assam - Patharkandi,Result Declared  
26,None of the Above,None of the Above,1030,Assam,3,2,Assam - Patharkandi,Result Declared  
27,KAMALAKHYA DEY PURKAYASTHA,Indian National Congress,45289,Assam,3,3,Assam - Karimganj North,Result Declared  
28,MISSION RANJAN DAS,Bharatiya Janata Party,44821,Assam,3,3,Assam - Karimganj North,Result Declared  
29,SAHABUL ISLAM CHOUDHURY,All India United Democratic Front,34207,Assam,3,3,Assam - Karimganj North,Result Declared  
30,NAZRUL ISLAM CHOUDHURY,Independent,1704,Assam,3,3,Assam - Karimganj North,Result Declared  
31,ABDUL AHAD CHOUDHURY,Independent,1052,Assam,3,3,Assam - Karimganj North,Result Declared  
32,MOIN UDDIN,Independent,708,Assam,3,3,Assam - Karimganj North,Result Declared  
33,ARUNANGSHU BHATTACHARJEE,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),468,Assam,3,3,Assam - Karimganj North,Result Declared  
34,MUHAMMAD MUHSIN ALAM,Independent,420,Assam,3,3,Assam - Karimganj North,Result Declared  
35,SIBIR AHMED,Independent,265,Assam,3,3,Assam - Karimganj North,Result Declared  
