,candidate,party,votes,state,state_num,const_num,const_name,status
0,DINESH SINGH,Bharatiya Janata Party,48910,Punjab,19,1,Punjab - Sujanpur ,Result Declared  
1,AMIT SINGH,Indian National Congress,30209,Punjab,19,1,Punjab - Sujanpur ,Result Declared  
2,NARESH PURI,Independent,28675,Punjab,19,1,Punjab - Sujanpur ,Result Declared  
3,NATHA SINGH,Revolutionary Marxist Party of India,10581,Punjab,19,1,Punjab - Sujanpur ,Result Declared  
4,KULBHUSHAN SINGH,Aam Aadmi Party,2831,Punjab,19,1,Punjab - Sujanpur ,Result Declared  
5,KARNAIL CHAND,Bahujan Samaj Party,1083,Punjab,19,1,Punjab - Sujanpur ,Result Declared  
6,ROMESH SINGH JASROTIA,Aapna Punjab Party,908,Punjab,19,1,Punjab - Sujanpur ,Result Declared  
7,SAURAB DUBEY,Shivsena,701,Punjab,19,1,Punjab - Sujanpur ,Result Declared  
8,GURU DUTT SHARMA,Independent,463,Punjab,19,1,Punjab - Sujanpur ,Result Declared  
9,None of the Above,None of the Above,1008,Punjab,19,1,Punjab - Sujanpur ,Result Declared  
10,JOGINDER PAL,Indian National Congress,67865,Punjab,19,2,Punjab - Bhoa,Result Declared  
11,SEEMA KUMARI,Bharatiya Janata Party,40369,Punjab,19,2,Punjab - Bhoa,Result Declared  
12,LAL CHAND KATARUCHAK,Revolutionary Marxist Party of India,13353,Punjab,19,2,Punjab - Bhoa,Result Declared  
13,AMARJEET SINGH,Aam Aadmi Party,3767,Punjab,19,2,Punjab - Bhoa,Result Declared  
14,MAHASHA VINOD KUMAR,Independent,750,Punjab,19,2,Punjab - Bhoa,Result Declared  
15,CHAIN SINGH,Bahujan Samaj Party,695,Punjab,19,2,Punjab - Bhoa,Result Declared  
16,BALBIR RAM FATEHPURIA,Independent,657,Punjab,19,2,Punjab - Bhoa,Result Declared  
17,MASTER SAMPURAN SINGH SAIDIPUR,All India Trinamool Congress,643,Punjab,19,2,Punjab - Bhoa,Result Declared  
18,BALBIR SINGH,Hindustan Utthan Party,465,Punjab,19,2,Punjab - Bhoa,Result Declared  
19,LUBHAYA RAM,Independent,458,Punjab,19,2,Punjab - Bhoa,Result Declared  
20,ANIKA RAY,Aapna Punjab Party,367,Punjab,19,2,Punjab - Bhoa,Result Declared  
21,DHARMINDER KUMAR,Independent,358,Punjab,19,2,Punjab - Bhoa,Result Declared  
22,SURINDER KUMAR KALOTRA,Independent,302,Punjab,19,2,Punjab - Bhoa,Result Declared  
23,DALIP SINGH SURAJVANSHI ADVOCATE,Independent,221,Punjab,19,2,Punjab - Bhoa,Result Declared  
24,BOBBY SANDHU,Shivsena,219,Punjab,19,2,Punjab - Bhoa,Result Declared  
